 Part name, Function  , Quantity  ,  obs.  ,supplier,supplier number,link
 3D Printer , To build the pieces of equipment  ,1, - , - , - , - 
 ABS Filament x 1Kg , Material for the 3D printer ,2, - , - , - , - 
